S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
,Median: 267 Co.,53.51,27.44,94.22,0.0,0.57,10.33,37.93,1.05,6.64,Textiles
101.,Shekhawati Poly.,4.97,15.67,171.31,0.00,145.41,429.88,24.08,-43.73,35.14,Textiles
102.,Winsome Textile,85.01,9.02,168.50,0.00,6.97,17.54,218.62,2.35,12.50,Textiles
103.,Suryalak. Cott.,89.40,29.27,168.12,0.00,0.91,-59.47,238.62,11.07,8.28,Textiles
104.,AI Champ.Inds.,54.09,,166.35,0.00,-41.06,-297.36,9.17,-44.59,-36.38,Textiles
105.,Digjam,83.02,,166.04,0.00,-2.45,-271.61,2.97,-58.58,-15.44,Textiles
106.,Premco Global,495.00,16.22,163.58,3.03,2.93,9.81,27.40,5.43,12.48,Textiles
107.,Salona Cotspin,309.25,26.53,162.64,0.00,0.90,-71.34,166.40,13.20,8.31,Textiles
108.,Lambodhara Text.,155.30,34.95,161.15,0.49,1.43,297.22,42.11,-6.23,6.72,Textiles
109.,Deepak Spinners,224.00,123.90,161.03,1.14,-2.93,-149.00,108.68,0.71,2.12,Textiles
110.,Indian CardCloth,269.70,19.98,160.24,0.00,1.46,-18.35,12.27,-18.25,3.65,Textiles
111.,Active Clothing,100.00,31.93,155.13,0.00,1.34,243.59,37.93,-13.62,9.36,Textiles
112.,Amarjothi Spg.,225.00,18.93,151.87,0.95,4.48,3.23,69.23,17.84,8.80,Textiles
113.,Binayaka Tex Pr,2028.05,25.90,143.99,0.00,3.29,210.38,55.87,-7.68,8.81,Textiles
114.,Pion. Embroider.,48.66,40.39,143.42,0.00,2.50,171.74,94.65,27.20,5.60,Textiles
115.,APM Industries,60.87,31.54,131.57,2.63,0.77,-68.95,62.52,-20.29,3.24,Textiles
116.,United Cotfab,76.00,15.06,130.64,0.00,,,,,,Textiles
117.,Fiberweb (India),44.39,17.59,127.83,0.00,3.52,183.41,20.68,322.04,5.10,Textiles
118.,Paras Petrofils,3.78,,126.34,0.00,-1.21,-332.14,0.00,,-1.55,Textiles
119.,Veekayem Fash.,210.70,30.72,123.80,0.00,2.48,,149.35,,11.94,Textiles
120.,Damodar Indust.,52.00,23.21,121.14,0.00,3.05,548.94,179.13,-17.90,8.97,Textiles
121.,A K Spintex,240.00,14.30,120.76,0.00,2.10,36.36,30.54,-5.51,28.05,Textiles
122.,KG Petrochem,222.35,124.81,116.06,0.00,0.87,127.27,105.25,30.55,3.70,Textiles
123.,Mohite Industrie,55.90,47.81,112.37,0.00,0.33,-91.58,61.89,101.73,6.23,Textiles
124.,Shanti Spintex,65.50,8.50,110.62,0.00,7.78,,343.51,,21.60,Textiles
125.,Bhilwara Spinner,121.00,223.58,109.54,0.00,0.57,-90.00,1.48,,1.13,Textiles
,Median: 267 Co.,53.51,27.44,94.22,0.0,0.57,10.33,37.93,1.05,6.64,Textiles
126.,Nagreeka Exports,35.00,18.20,109.38,0.00,2.61,-58.24,139.04,10.79,6.14,Textiles
127.,Globe Textiles,3.63,18.97,109.00,0.00,1.30,71.05,100.61,-8.57,12.27,Textiles
128.,Celebrity Fash.,19.26,60.50,108.92,0.00,-1.06,-312.00,94.47,-2.41,10.12,Textiles
129.,Shalimar Wires,24.97,,106.77,0.00,-0.10,-14.29,34.21,10.11,9.74,Textiles
130.,Vinny Overseas,4.46,29.33,103.75,0.00,0.36,-66.36,25.54,-25.78,12.99,Textiles
131.,Gokak Textiles,157.05,,102.08,0.00,-5.85,-106.71,24.27,-20.01,-1.34,Textiles
132.,SVP Global,8.05,,101.84,0.00,-155.54,38.03,80.89,5.61,-4.30,Textiles
133.,Vippy Spinpro,169.00,22.81,99.21,0.00,2.78,1163.64,63.30,34.05,7.36,Textiles
134.,Acknit Indus.,309.90,11.02,94.22,0.49,3.07,35.84,68.45,29.20,11.04,Textiles
135.,Ludlow Jute,85.48,,92.04,1.77,-5.43,-986.00,127.53,-5.27,-2.73,Textiles
136.,Sanrhea Tech.,182.60,17.56,91.30,0.53,2.18,165.85,15.73,2.34,29.83,Textiles
137.,Kalahridhaan,49.95,10.66,85.85,0.00,3.22,,109.90,,23.75,Textiles
138.,Gini Silk Mills,152.55,31.01,85.28,0.00,0.70,-66.67,11.62,-5.83,7.23,Textiles
139.,Virat Industries,172.80,111.87,85.05,0.00,0.10,-81.48,5.73,-42.35,4.20,Textiles
140.,Signoria Creatio,175.00,34.55,83.26,0.00,1.76,,13.01,,24.05,Textiles
141.,CIL Nova Petro.,30.50,,82.66,0.00,-0.89,-372.73,0.00,,-3.35,Textiles
142.,Riba Textiles,85.00,10.35,82.00,0.00,2.34,-39.22,74.02,9.58,10.19,Textiles
143.,Shiva Mills,93.25,,80.58,0.00,0.45,123.68,47.32,26.09,-3.07,Textiles
144.,Sky Industries,100.03,19.03,78.96,1.02,1.00,81.82,20.60,17.45,13.30,Textiles
145.,Akshar Spintex,2.59,22.45,77.70,0.32,0.96,-72.09,48.13,28.72,10.46,Textiles
146.,K G Denim,26.99,,69.20,0.00,-7.90,19.54,66.00,-27.75,-5.32,Textiles
147.,Sambandam Spg.,161.00,,68.59,0.00,-1.36,-122.95,61.90,23.85,0.80,Textiles
148.,PBM Polytex,99.50,,68.45,0.00,0.28,168.29,52.12,0.87,-6.59,Textiles
149.,Aarvee Denims,28.75,,67.46,0.00,-6.46,58.16,24.00,-51.92,-9.65,Textiles
150.,Swasti Vinayaka,7.34,33.36,66.06,0.00,0.56,0.00,6.93,-20.07,14.26,Textiles
,Median: 267 Co.,53.51,27.44,94.22,0.0,0.57,10.33,37.93,1.05,6.64,Textiles
