S.No.,Name,CMP(Rs),P/E,Mar Cap(Rs.Cr),Div Yld(%),NP Qtr(Rs.Cr),Qtr Profit Var(%),Sales Qtr(Rs.Cr.),Qtr Sales Var(%),ROCE(%),Company Name
96.,Rajasthan Gases,25.83,,198.57,0.00,-0.04,85.19,0.00,,-0.58,Miscellaneous
97.,Toyam Sports,3.43,40.07,194.27,0.00,2.08,110.37,3.26,358.73,4.29,Miscellaneous
98.,Priti Internati.,142.65,19.88,190.46,0.00,1.34,-40.18,29.73,2.27,23.93,Miscellaneous
99.,Lak. Auto. Looms,2833.30,90.23,189.50,0.35,0.45,-10.00,3.27,-3.54,13.43,Miscellaneous
100.,Silicon Rental,182.05,14.50,187.02,0.55,5.77,,39.11,,33.67,Miscellaneous
,Median: 251 Co.,81.53,34.4,95.14,0.0,0.58,24.29,13.21,5.37,9.38,Miscellaneous
101.,Interiors,266.00,22.85,186.07,0.00,6.32,,26.47,,52.22,Miscellaneous
102.,Pacific Inds,237.00,13.76,163.37,0.00,4.72,186.06,59.55,47.15,3.46,Miscellaneous
103.,Urban Enviro,353.15,21.68,152.89,0.14,3.05,,56.01,,38.51,Miscellaneous
104.,KHFM Hospitality,75.55,43.76,151.41,0.00,1.35,,53.20,,10.69,Miscellaneous
105.,Qualitek Labs,203.00,34.73,149.63,0.00,2.30,,16.69,,20.20,Miscellaneous
106.,Transteel Seatin,73.95,13.25,149.22,0.00,6.94,,43.00,,37.37,Miscellaneous
107.,United Van Der,120.00,80.69,148.44,0.43,0.09,-89.41,5.22,3.78,8.11,Miscellaneous
108.,Sharat Industrie,62.01,25.28,148.29,0.40,0.36,9.09,64.67,3.31,9.81,Miscellaneous
109.,Likhami Consult.,145.00,901.75,144.28,0.00,0.19,533.33,0.34,161.54,0.61,Miscellaneous
110.,Zeal Aqua,11.40,17.36,143.72,0.00,4.80,280.95,65.04,-0.46,11.01,Miscellaneous
111.,Durlax Top,85.00,27.98,141.33,0.00,,,,,13.22,Miscellaneous
112.,Party Cruisers,125.00,22.58,140.47,0.00,0.46,,19.56,,35.08,Miscellaneous
113.,ANI Integrated,144.90,24.84,140.37,0.00,1.93,4.32,52.91,22.02,13.71,Miscellaneous
